VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
TRUE,FALSE,FALSE,881.8305433,4.23869586,42.05967456,169.565193,0.70212299,2.581318647,0.049911447,3.978115082,0.396266989,0.920626044,0.756264269,0,0,15605.76,0.3681838,0,7693.9,8507.75,0,0,-0.493001382,0.002831129
TRUE,FALSE,FALSE,1416.601598,2.902616024,58.90244246,997.8212282,0.895504814,3.023216426,0.404771417,2.210777283,0.14792566,0.808678299,0.756576478,0,0,11837.33,0.1372104,0,11113.85,11331.1,0,0,-0.93888855,0.000869214
TRUE,FALSE,FALSE,1272.5,1.626,76.375,47.9125,0.762875,5.513,0.21675,1.07,0.368925,0.91975,0.75725,0.05775,0.01903,3215.575,0,0.84713215,2982.05,3212.65,0,0,-0.927433428,0.003441926
TRUE,FALSE,FALSE,878.5,3.778,58.825,282.8875,0.908625,7.475,0.48325,3.474,0.015635,0.97525,0.75725,0,0,12687.065,0.4239931,0,10050.4,18396,0,0,-0.792388146,0.02396407
TRUE,FALSE,FALSE,1457.4035,4.128498,77.759425,947.1749875,0.728972625,6.381089,0.36139175,1.206098,0.260066355,0.97227925,0.75725225,0.07312355,0.01274891,24630.235,9.09E-07,0.96930775,20233.25,24379.2,0,0,-0.821498154,0.002126244
TRUE,FALSE,FALSE,1431.0355,1.073066,81.347005,757.6232875,0.913747625,5.838473,0.33328375,2.29711,0.107341685,0.99829575,0.75745975,0.07479485,0.01813511,1567.64,0.003181771,0.99453505,1140.1,1546.35,0,0,-0.727384482,0.003132781
TRUE,FALSE,FALSE,898.5,4.55,92.125,676.7875,0.755625,4.787,0.17475,2.102,0.250345,0.80425,0.75775,0,0,18483.775,0.097392915,0,17685,18153.05,0,0,-0.956786227,0.000541146
TRUE,FALSE,FALSE,1337.7135,3.84833,80.216335,993.7292875,0.751770125,4.627061,0.33718375,2.497422,0.064577915,0.93074175,0.75782125,0.00750935,0.00560673,19658.25,0,0.9234947,19228.05,19588.85,0,0,-0.978117942,0.000750592
TRUE,FALSE,FALSE,1075.8035,3.006098,48.069955,471.7640125,0.851622875,6.769073,0.35707025,2.385738,0.474752995,0.89505525,0.75788125,0.09303385,0.00176113,9714.81,0,0.64729235,6999.4,8215.05,0,0,-0.720514106,0.001229581
TRUE,FALSE,FALSE,936.1738563,1.259497821,44.25155699,140.3105935,0.862047893,2.615217611,0.297300577,4.924259663,0.439619325,0.954315364,0.758088231,0,0,1429.33,0.40563735,0,1147.95,1249.8,0,0,-0.803210654,0.003065513
TRUE,FALSE,FALSE,1425.0045,2.325778,38.134135,95.2648375,0.932775125,3.000167,0.43293525,3.080866,0.125889655,0.90234625,0.75818125,0.08101165,0.00145977,7580.09,0,0.71399175,7331.4,7588.35,0,0,-0.967195745,0.000815246
TRUE,FALSE,FALSE,1231.6135,4.163258,41.115745,223.6079875,0.814836125,4.939991,0.37046775,4.698846,0.364189395,0.82915025,0.75850525,0.03584085,0.00897563,21272.54,0,0.48162085,20649,21191.2,0,0,-0.970695324,0.001306187
TRUE,FALSE,FALSE,1253.2155,1.893702,83.049895,564.4007125,0.868838875,5.636279,0.45158825,2.594158,0.108877835,0.90153375,0.75859775,0.09205785,0.01526973,4213.02,0,0.7755102,2943.25,3983.65,0,0,-0.698735829,0.003861177
TRUE,FALSE,FALSE,968.6195,1.110722,77.989105,307.1508625,0.798348875,3.077345,0.21609375,2.26159,0.369903775,0.85291325,0.75871525,0.03002165,0.01456717,1132.675,0.017180032,0.363828435,1018.3,1120.45,0,0,-0.899087297,0.002526676
TRUE,FALSE,FALSE,1182.5,3.358,73.135,687.5125,0.780125,4.223,0.35925,3.042,0.463495,0.94925,0.75875,0,0,13206.865,0.40755425,0,13197,13525.55,0,0,-0.99925918,0.00106145
TRUE,FALSE,FALSE,1479.5,3.254,48.205,341.3875,0.916875,6.557,0.49525,4.31,0.315025,0.80725,0.75925,0.06205,0.01769,15312.995,0,0.023528182,9679.9,12064.95,0,0,-0.632148986,0.000909181
TRUE,FALSE,FALSE,762.5,4.794,35.785,445.7125,0.861125,4.421,0.19725,2.63,0.481625,0.86525,0.75925,0,0,17856.345,0.23958535,0,17657.45,18357.7,0,0,-0.988868763,0.000989797
TRUE,FALSE,FALSE,650.1935,3.036678,24.952105,148.7835625,0.738023125,5.549465,0.25052925,4.597706,0.467210425,0.83206375,0.75927175,0.03147605,0.00119669,6101.415,0.018024215,0.402564485,5822.3,6082.2,0,0,-0.954271021,0.001349152
TRUE,FALSE,FALSE,1001.760125,2.530750275,32.21779406,416.0716087,0.737918702,2.798137426,0.27938357,3.062848568,0.343930949,0.984321564,0.759343207,0,0,6354.12,0.42534495,0,3590.7,3984.75,0,0,-0.565092059,0.003807479
TRUE,FALSE,FALSE,765.5,2.018,25.705,250.7125,0.789625,4.823,0.10175,1.166,0.395875,0.79475,0.75975,0,0,3232.395,0,0,3076.8,3217.1,0,0,-0.951921993,0.002843944
TRUE,FALSE,FALSE,1140.5,4.482,67.645,398.9125,0.766125,3.845,0.20775,1.802,0.418415,0.84375,0.75975,0.08425,0.00201,22800.64,0.001423242,0.28112065,22149.45,22835.6,0,0,-0.971441271,0.000572079
TRUE,FALSE,FALSE,1452.5705,1.016822,31.567105,525.1852375,0.770104125,7.087187,0.47589825,1.690358,0.022998965,0.90418975,0.75991025,0.00062055,0.01502135,1434.795,0.020622031,0.857439988,943.3,1361.05,0,0,-0.657591054,0.006240529
TRUE,FALSE,FALSE,1452.5705,1.016822,31.567105,525.1852375,0.770104125,7.087187,0.47589825,1.690358,0.022998965,0.90418975,0.75991025,0.00062055,0.01502135,1437.97,0,0.91501865,949.5,1293.65,0,0,-0.660392064,0.004311421
TRUE,FALSE,FALSE,1287.666917,2.71662271,94.14674938,613.9432684,0.843440709,6.773191929,0.475823522,3.734301329,0.175848904,0.762603223,0.760140538,0,0,8677.58,0,0,5388.75,6229.9,0,0,-0.621037885,0.001662717
TRUE,FALSE,FALSE,1201.694787,2.540947556,66.65864527,784.7751677,0.949899566,5.127448916,0.138333693,3.644652128,0.07822451,0.892499834,0.760216892,0,0,7744.315,0.046337485,0,7234.2,7798.25,0,0,-0.934168646,0.001752109
TRUE,FALSE,FALSE,994.3446815,1.099866927,54.67551976,487.2638822,0.719110108,7.807266474,0.310922772,3.491116762,0.200930962,0.783708751,0.760307193,0,0,1138.495,0.18584055,0,810.75,1166.1,0,0,-0.712222922,0.008267094
TRUE,FALSE,FALSE,1092.995882,4.400086403,64.56999838,797.1979618,0.865079951,2.173244864,0.281959236,1.814214349,0.364126242,0.867196798,0.760697842,0,0,21090.44,0.25068755,0,18392.45,18734.8,0,0,-0.872077601,0.000656393
TRUE,FALSE,FALSE,1303.5,4.638,70.435,252.6625,0.740625,4.331,0.33675,4.99,0.347855,0.87775,0.76075,0,0,27871.96,0.3545078,0,25741.4,26292.2,0,0,-0.923560738,0.00057769
TRUE,FALSE,FALSE,1353.616953,2.273800254,80.52242577,542.1493351,0.926207674,4.350352526,0.069580451,1.030184362,0.044914146,0.824122846,0.761188,0,0,6928.25,0,0,6731.2,6961.6,0,0,-0.971574747,0.002018047
TRUE,FALSE,FALSE,756.5,3.278,81.235,369.6625,0.725125,5.711,0.16925,4.138,0.410575,0.94725,0.76125,0,0,8018.97,0.40551465,0,8399.15,9525.9,0,0,-1.04742686,0.002612211
TRUE,FALSE,FALSE,1415.5,2.954,25.705,712.8625,0.846625,6.437,0.38175,3.214,0.484565,0.98575,0.76125,0.05025,0.01159,12480.68,0.000289093,0.98700965,9701.8,11271.45,0,0,-0.777360559,0.001567111
TRUE,FALSE,FALSE,1349.5,2.81,65.035,291.6625,0.771125,7.409,0.21375,1.982,0.073455,0.85725,0.76175,0,0,10560.825,0.3132272,0,8180.85,12230.1,0,0,-0.774666789,0.009374786
TRUE,FALSE,FALSE,1089.7925,3.680182,66.329065,887.8910875,0.819959625,5.190893,0.03332775,4.261206,0.200391705,0.98512525,0.76191775,0.06883045,0.01496333,14761.775,0.001124496,0.9552102,14197.95,14807.4,0,0,-0.961815411,0.001401018
TRUE,FALSE,FALSE,1061.5,3.566,22.555,393.0625,0.750875,6.593,0.39925,2.878,0.068065,0.86875,0.76225,0.03635,0.00213,13711.74,0,0.7730369,13002.85,13723.8,0,0,-0.948310612,0.002686842
TRUE,FALSE,FALSE,880.5995,1.514738,70.554025,26.4912625,0.732516625,4.792181,0.31928375,1.12579,0.371314485,0.78623025,0.76231625,0.08030745,0.01323831,1857.63,0.00072585,0.122926215,1691.7,1837.6,0,0,-0.910712098,0.002747562
