VIABILITY_TARGET_HOMING,FEMALE_FERTILITY_TARGET_HOMING,Y_SHREDDER,DENSITY,ISLAND_SIDE_LENGTH,INTERACTION_DISTANCE_SIGMA,AVG_DISPERSAL,MONTHLY_SURVIVAL_RATE,LITTER_SIZE,ITINERANT_FREQ,ITINERANT_DISPERSAL_MULTIPLIER,RELEASE_PERCENTAGE,DRIVE_FITNESS,DRIVE_EFFICIENCY,RESISTANCE_RATE,R1_RATE,Equilibrium pop size,End drive freq,End resistance freq,Minimum pop size,End pop,Suppression rate,Gen Suppressed,Composite Value,Composite Value SE
FALSE,TRUE,FALSE,609.5,3.526,65.125,261.4375,0.723125,2.567,0.16675,4.926,0.279745,0.79525,0.75275,0,0,7435.255,0.560164,0,712.9,1901.6,0,0,-0.095945444,0.008822756
FALSE,TRUE,FALSE,767.8215,2.322886,49.718575,520.7138875,0.767708625,5.989367,0.23369625,4.826626,0.286168655,0.95973075,0.75278125,0.04852335,0.01736771,4103.71,0,0.9942183,3741.3,4076.75,0,0,-0.911714992,0.00416008
FALSE,TRUE,FALSE,678.7131876,3.623476744,90.53552508,721.8925163,0.89405441,2.984913766,0.368596315,2.694756389,0.017530868,0.918283254,0.75283137,0,0,8802.565,0.9000518,0,1205.6,2033.1,0,0,-0.136970055,0.007846489
FALSE,TRUE,FALSE,1218.02175,3.563075304,38.29455853,121.0210448,0.741826323,7.490554094,0.248903975,2.837838173,0.021568626,0.886550844,0.752937436,0,0,15436.645,0.89922785,0,3539,5890.3,0,0,-0.229247209,0.01180578
FALSE,TRUE,FALSE,1353.1125,2.601234,89.331715,678.4435375,0.717456125,2.357585,0.15575175,4.617174,0.487149505,0.79277325,0.75301475,0.05940015,0.01227175,8947.055,0,0.046322055,7220,8952.1,0,0,-0.806986883,0.002105103
FALSE,TRUE,FALSE,1419.331491,3.093339205,73.18086565,87.93502711,0.829489303,5.733824134,0.420422971,4.161094904,0.345528532,0.853980929,0.753250092,0,0,13193.36,0.89505445,0,3030.4,4616.85,0,0,-0.22969411,0.007012508
FALSE,TRUE,FALSE,768.5,2.634,45.595,458.3875,0.864375,5.309,0.07175,3.874,0.150385,0.96125,0.75375,0.00215,0.01585,5440.045,9.27E-06,0.99337175,5228.65,5409.9,0,0,-0.96116483,0.001541407
FALSE,TRUE,FALSE,1157.898724,3.498318195,39.18766171,537.2812554,0.929443043,2.346049108,0.470443875,4.66267705,0.472514149,0.982138127,0.753791302,0,0,14148.4,0.9159241,0,4395.2,5212.8,0,0,-0.310646551,0.003236824
FALSE,TRUE,FALSE,660.067156,3.952884436,51.04348421,281.8246067,0.828754929,5.253835678,0.42747432,1.700264931,0.055714014,0.957649201,0.753881067,0,0,10245.265,0.91522585,0,4602.8,5724.95,0,0,-0.449249636,0.006066222
FALSE,TRUE,FALSE,1453.7915,3.331966,76.981195,589.7146375,0.718353875,3.462167,0.06106425,2.29575,0.226139245,0.86717075,0.75445275,0.00910725,0.01228667,15954.15,0,0.93612205,6533.05,15985.4,0,0,-0.409482625,0.026617321
