1000
Sorted times to suppress (95% efficiency),Sorted times to suppress (85% efficiency)
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
178,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
179,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
180,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
181,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
182,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
183,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
184,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
185,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
186,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
187,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
188,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
189,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
190,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
191,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
192,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
193,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
194,Failed to suppress
195,Failed to suppress
195,Failed to suppress
195,Failed to suppress
195,Failed to suppress
195,Failed to suppress
195,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
196,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
197,Failed to suppress
198,Failed to suppress
198,Failed to suppress
198,Failed to suppress
198,Failed to suppress
198,Failed to suppress
198,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
199,Failed to suppress
200,Failed to suppress
200,Failed to suppress
200,Failed to suppress
200,Failed to suppress
200,Failed to suppress
200,Failed to suppress
201,Failed to suppress
201,Failed to suppress
201,Failed to suppress
201,Failed to suppress
201,Failed to suppress
201,Failed to suppress
201,Failed to suppress
202,Failed to suppress
202,Failed to suppress
202,Failed to suppress
202,Failed to suppress
203,Failed to suppress
203,Failed to suppress
203,Failed to suppress
203,Failed to suppress
203,Failed to suppress
203,Failed to suppress
204,Failed to suppress
204,Failed to suppress
204,Failed to suppress
204,Failed to suppress
205,Failed to suppress
205,Failed to suppress
205,Failed to suppress
205,Failed to suppress
206,Failed to suppress
206,Failed to suppress
206,Failed to suppress
206,Failed to suppress
206,Failed to suppress
207,Failed to suppress
207,Failed to suppress
207,Failed to suppress
207,Failed to suppress
208,Failed to suppress
208,Failed to suppress
208,Failed to suppress
209,Failed to suppress
209,Failed to suppress
209,Failed to suppress
210,Failed to suppress
210,Failed to suppress
210,Failed to suppress
210,Failed to suppress
210,Failed to suppress
210,Failed to suppress
211,Failed to suppress
211,Failed to suppress
211,Failed to suppress
211,Failed to suppress
212,Failed to suppress
213,Failed to suppress
213,Failed to suppress
214,Failed to suppress
215,Failed to suppress
216,Failed to suppress
216,Failed to suppress
216,Failed to suppress
217,Failed to suppress
218,Failed to suppress
221,Failed to suppress
222,Failed to suppress
222,Failed to suppress
224,Failed to suppress
224,Failed to suppress
225,Failed to suppress
226,Failed to suppress
226,Failed to suppress
227,Failed to suppress
227,Failed to suppress
228,Failed to suppress
233,Failed to suppress
239,Failed to suppress
260,Failed to suppress
274,Failed to suppress
