Distance,Ripley's L (t = 0),Ripley's L (t = 20)
171,-0.003123977,-0.003418472
172,-0.003152456,-0.003467159
173,-0.003175244,-0.00351449
174,-0.003234289,-0.003530855
175,-0.00325798,-0.003571196
176,-0.003304527,-0.003626716
177,-0.003332453,-0.003628822
178,-0.003397406,-0.003683045
179,-0.003423988,-0.003734016
180,-0.003462048,-0.003754795
181,-0.003493844,-0.00379577
182,-0.003532687,-0.00385471
183,-0.003560189,-0.003883091
184,-0.00361525,-0.003937637
185,-0.003649605,-0.003953075
186,-0.003695844,-0.003989316
187,-0.003728747,-0.004047371
188,-0.003774034,-0.004102267
189,-0.003818657,-0.004118251
190,-0.003861455,-0.004153947
191,-0.003904498,-0.004201846
192,-0.003941615,-0.00423265
193,-0.003981165,-0.004286289
194,-0.004013515,-0.004322319
195,-0.004052874,-0.004387636
196,-0.004093219,-0.004387051
197,-0.004138802,-0.004435759
198,-0.004196336,-0.004534396
199,-0.004224943,-0.004513543
200,-0.004268048,-0.00461318
201,-0.004309994,-0.004650965
202,-0.004359672,-0.00465714
203,-0.004403855,-0.004725347
204,-0.004443538,-0.00476451
205,-0.004495666,-0.004766377
206,-0.004528754,-0.004861937
207,-0.004556219,-0.004879034
208,-0.00461561,-0.004910098
209,-0.004658127,-0.004992715
210,-0.004709284,-0.005049605
211,-0.00474419,-0.005027376
212,-0.004791443,-0.005135836
213,-0.004835966,-0.005173264
214,-0.004881181,-0.005180684
215,-0.004931431,-0.005222469
216,-0.004977316,-0.005292735
217,-0.005024502,-0.005327704
218,-0.005080254,-0.005401573
219,-0.00512026,-0.005407055
220,-0.005170898,-0.0054769
221,-0.00522317,-0.005542879
222,-0.005287004,-0.005577293
223,-0.005322169,-0.005588884
224,-0.005354378,-0.005657182
225,-0.005405575,-0.005748435
226,-0.005434749,-0.005765342
227,-0.005503765,-0.005800774
228,-0.00553111,-0.005852536
229,-0.005605634,-0.005910534
230,-0.005646571,-0.005987858
231,-0.005684236,-0.006036771
232,-0.005760227,-0.006072622
233,-0.005796451,-0.006110192
234,-0.005856492,-0.006119617
235,-0.005875591,-0.006225563
236,-0.005943607,-0.006273211
237,-0.005983,-0.006313892
238,-0.006043946,-0.006363525
239,-0.006093866,-0.006426648
240,-0.006141649,-0.006503026
241,-0.00619931,-0.006518594
242,-0.006258977,-0.006578767
243,-0.00630109,-0.006598164
244,-0.006337304,-0.006690249
245,-0.006397555,-0.006736964
246,-0.00647706,-0.006742737
247,-0.00649941,-0.006880302
248,-0.006564581,-0.006850579
249,-0.006611101,-0.006977358
250,-0.00666639,-0.00701556
251,-0.006712001,-0.007063684
252,-0.006775088,-0.007139329
253,-0.0068129,-0.007139632
254,-0.006881253,-0.007185162
255,-0.006912505,-0.007283977
256,-0.006999196,-0.007351589
257,-0.007042005,-0.007368036
258,-0.007107327,-0.007444518
259,-0.007150464,-0.007531687
260,-0.007223728,-0.007581535
261,-0.007278806,-0.007591296
262,-0.007324573,-0.007666464
263,-0.00738693,-0.007738645
264,-0.007453761,-0.007804577
265,-0.007470604,-0.007870738
266,-0.00755567,-0.007922777
267,-0.007603475,-0.007973134
268,-0.007653056,-0.008022821
269,-0.00773692,-0.008074333
270,-0.007784423,-0.008091031
271,-0.007845379,-0.008183623
272,-0.007886142,-0.008221379
273,-0.007942838,-0.008313739
274,-0.008018204,-0.008387912
